Code,Name,Sector,Open,High,Low,Close,SMA20,SMA50,SMA200,Shariah,Price,ADR%,Perf 5D%,Perf 1M%,Perf 3M%,EPS,P/E,Volume,Mkt Cap
6483,KENANGA,Financial Services,0.765,0.775,0.76,0.76,0.784,0.795,0.8061,,0.76,1.74,-2.56,-3.18,-6.24,0.07,10.857142,321400,553331328.0
7095,PIE,Technology,1.42,1.46,1.42,1.44,1.68,1.5428,2.3969,,1.44,4.96,-6.49,-24.61,4.35,0.0,Infinity,1974100,553020480.0
6874,JAGCPTL,Utilities,0.99,1.01,0.99,0.99,0.9943,0.9937,0.9199,,0.99,1.62,-1.0,1.02,6.45,0.04,24.75,166400,551687360.0
7076,CBIP,Industrials,1.18,1.18,1.18,1.18,1.2115,1.1886,1.19,,1.18,1.25,-2.48,-2.48,5.23,-0.11,6.210526,0,544856320.0
5110,UOAREIT,Real Estate,0.8,0.81,0.8,0.805,0.8105,0.819,0.8226,,0.805,0.62,-0.62,-0.62,-5.29,0.08,10.0625,339900,543857280.0
1058,MANULFE,Financial Services,2.33,2.33,2.33,2.33,2.3405,2.302,2.2062,,2.33,0.94,-1.27,1.3,3.56,0.54,4.3148146,6000,539708352.0
5298,OMH,Basic Materials,0.72,0.72,0.685,0.7,0.7649,0.7439,0.7636,,0.7,2.8,-6.04,-11.32,-16.53,-0.01,11.111111,22900,536379904.0
0198,GDB,Industrials,0.54,0.54,0.51,0.52,0.4772,0.4165,0.4159,,0.52,5.49,5.05,23.81,40.54,0.06,8.666667,1790200,536249984.0
5094,CSCSTEL,Basic Materials,1.45,1.45,1.44,1.45,1.486,1.4584,1.3296,,1.45,1.84,-1.36,-1.36,1.4,0.19,7.6315794,237900,535485024.0
6017,SHL,Real Estate,2.21,2.21,2.21,2.21,2.1955,2.1992,2.2372,,2.21,0.11,0.0,1.84,-3.91,0.15,14.733333,0,535093440.0
5202,MSM,Consumer Defensive,0.765,0.77,0.745,0.755,0.82,0.824,0.9448,,0.755,2.34,-6.79,-9.04,-10.12,-0.6,31.458332,1159900,530749888.0
0273,VLB,Real Estate,0.56,0.56,0.56,0.56,0.5677,0.5518,0.4856,,0.56,1.15,-0.88,-4.27,20.43,0.04,14.0,0,528812864.0
5125,PANTECH,Basic Materials,0.64,0.65,0.63,0.635,0.6522,0.6524,0.6456,,0.635,1.32,-2.31,-2.31,-1.55,0.05,12.7,241700,527806720.0
2569,SBAGAN,Consumer Defensive,5.69,5.7,5.69,5.7,5.707,5.7004,5.6384,,5.7,0.26,0.18,0.53,1.06,0.53,10.754717,47100,527442592.0
2062,HARBOUR,Industrials,1.27,1.32,1.26,1.3,1.423,1.3766,1.3994,,1.3,1.54,-9.72,-8.45,-5.8,0.29,4.4827585,1020000,518149696.0
03005,"03005.KL,0P0001CQZ6,0",,0.225,0.225,0.225,0.225,0.2222,0.214,0.2192,,0.225,2.66,0.0,2.27,5.91,,63.0,16300,518036384.0
0293,KJTS,Industrials,0.75,0.75,0.735,0.74,0.8177,0.8251,1.2022,,0.74,3.86,-3.27,-13.95,-0.67,0.03,24.666668,1311600,511051584.0
7204,D&O,Technology,0.415,0.435,0.41,0.41,0.4597,0.4753,0.8366,,0.41,6.05,-8.89,-12.77,-2.38,-0.23,11.714286,9995300,508188288.0
7243,MAGMA,Consumer Cyclical,0.285,0.295,0.285,0.295,0.2832,0.2878,0.316,,0.295,3.41,1.72,5.36,-9.23,-0.04,,4198400,507500032.0
5247,KAREX,Consumer Defensive,0.465,0.48,0.465,0.475,0.5007,0.521,0.6761,,0.475,3.29,-2.06,-7.77,-12.04,-0.01,22.619047,548500,500393856.0
5112,THPLANT,Consumer Defensive,0.555,0.59,0.55,0.565,0.5947,0.6126,0.5485,,0.565,2.36,-0.88,-9.6,1.18,0.08,7.0625,1888200,499376064.0
0240,CORAZA,Industrials,0.965,1.05,0.965,1.01,0.8807,0.7618,0.6217,,1.01,5.29,12.85,27.04,77.19,0.03,33.666668,8752100,499136256.0
5072,HIAPTEK,Basic Materials,0.29,0.29,0.285,0.285,0.2973,0.2883,0.2768,,0.285,3.07,-3.39,-8.06,5.56,0.1,2.85,1102300,496535552.0
9407,PARAGON,Consumer Cyclical,4.88,4.88,4.79,4.87,4.877,4.6914,3.6043,,4.87,3.33,0.0,0.62,21.75,-0.04,,1762800,492443648.0
5132,DELEUM,Energy,1.23,1.23,1.21,1.22,1.291,1.2674,1.2545,,1.22,2.25,-3.94,-8.96,-3.04,0.18,6.7777777,397100,489895296.0
5308,SENFONG,Basic Materials,0.67,0.67,0.66,0.67,0.6748,0.6735,0.7031,,0.67,2.05,-0.74,-0.74,-0.75,-0.0,7.882353,24100,483508288.0
5283,EWICAP,Real Estate,0.205,0.205,0.2,0.2,0.2005,0.1964,0.2328,,0.2,4.72,-6.98,8.11,-4.76,-0.18,-25.0,535900,480000352.0
0217,PWRWELL,Industrials,0.8,0.815,0.795,0.815,0.7662,0.6887,0.6183,,0.815,3.41,5.16,16.43,29.37,0.04,20.375,5002200,473149888.0
6432,APOLLO,Consumer Defensive,5.87,5.9,5.87,5.9,5.924,5.8068,6.0544,,5.9,0.88,0.0,-0.34,-1.67,0.43,13.72093,4900,472000000.0
7252,TEOSENG,Consumer Defensive,0.815,0.82,0.81,0.815,0.8637,0.8903,0.9748,,0.815,1.35,-2.4,-8.43,-18.09,0.2,4.075,89800,471111520.0
1694,MENANG,Real Estate,0.67,0.675,0.67,0.675,0.6605,0.6552,0.646,,0.675,1.31,0.75,0.75,4.65,0.03,22.5,72700,469265632.0
7167,ABLEGLOB,Consumer Defensive,1.52,1.52,1.5,1.51,1.5055,1.5198,1.5582,,1.51,1.2,1.34,0.0,-6.74,1.93,0.78238344,228100,464419808.0
5228,ELKDESA,Financial Services,1.05,1.06,1.05,1.06,1.0535,1.0694,1.0942,,1.06,0.81,0.0,0.95,-5.36,0.07,15.142857,111500,462910944.0
3174,L&G,Real Estate,0.155,0.16,0.15,0.155,0.1535,0.1437,0.1391,,0.155,6.63,6.9,3.33,12.38,0.02,7.75,15602800,460835936.0
9571,MITRA,Industrials,0.625,0.64,0.625,0.625,0.6785,0.6238,0.6037,,0.625,4.1,-13.19,-10.71,-1.57,0.11,5.681818,852800,455267808.0
7237,PWROOT,Consumer Defensive,1.12,1.12,1.01,1.08,1.1425,1.1494,1.2007,N,1.08,1.34,-4.42,-7.69,-4.26,0.05,21.6,5719600,451983936.0
5008,HARISON,Industrials,1.34,1.35,1.31,1.32,1.305,1.249,1.2391,,1.32,0.85,0.0,3.94,9.09,0.12,11.000001,102700,451942912.0
6521,SURIA,Industrials,1.29,1.29,1.29,1.29,1.293,1.3262,1.4875,,1.29,1.09,1.57,0.0,-5.15,0.11,11.727272,100,446108768.0
5143,LUXCHEM,Basic Materials,0.41,0.415,0.41,0.415,0.404,0.3805,0.3839,,0.415,2.22,-1.19,6.41,16.9,0.04,10.375,107600,443620928.0
0001,SCOMNET,Industrials,0.51,0.52,0.505,0.52,0.5475,0.5642,0.6957,,0.52,3.2,1.96,-10.34,1.96,0.03,17.333334,1488500,440851584.0
5080,POHKONG,Consumer Cyclical,1.07,1.08,1.07,1.07,1.0975,1.1058,1.103,,1.07,1.51,0.0,-3.6,-11.46,0.38,2.8157897,96300,439076384.0
5134,SAB,Industrials,3.18,3.18,3.18,3.18,3.18,3.145,3.2075,,3.18,0.62,-0.62,4.26,4.95,0.27,11.777778,0,435450528.0
0308,KTI,Real Estate,0.555,0.555,0.53,0.535,0.55,0.5076,0.4283,,0.535,3.37,2.88,-4.46,33.08,0.02,26.750002,459600,428000032.0
4251,IBHD,Real Estate,0.23,0.235,0.23,0.23,0.2362,0.2354,0.2622,,0.23,2.69,0.0,-2.13,-4.17,0.03,7.666667,51000,427178944.0
